# 指令元数据 - 指令名称和描述
FUSE_INSTRUCTION_BREAKPOINT_NAME,断点,Breakpoint
FUSE_EVENT_ON_PROCESS_MODE_PHYSICS,物理帧,Physics Frame
FUSE_EVENT_ON_PROCESS_DESC,每 {interval} 秒在 {mode} 触发一次（约 {fps}）⚠️ 注意：此事件性能影响极大,Triggers every {interval}s on {mode} (~{fps}) ⚠️ Note: This event has extremely high performance impact
FUSE_EVENT_ON_READY_RESOURCE_NAME,On Ready With Delay: {delay},On Ready With Delay: {delay}
FUSE_EVENT_ON_READY_DESC_WITH_DELAY,场景就绪后 {delay} 秒触发,Triggers {delay}s after scene is ready
FUSE_EVENT_ON_READY_DESC_IMMEDIATE,场景就绪时触发,Triggers when scene is ready

# Node Events Localization Fix
FUSE_EVENT_ON_NODE_INSTANCE_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_NODE_INSTANCE_WITH_PARENT, (父节点: {parent}),(Parent: {parent})
FUSE_EVENT_ON_NODE_INSTANCE_RESOURCE_NAME,节点实例化: {scene}{parent},Node Instance: {scene}{parent}
FUSE_EVENT_ON_NODE_INSTANCE_DESC,当场景 '{scene}' 被实例化时触发,Triggers when scene '{scene}' is instantiated
FUSE_EVENT_ON_NODE_INSTANCE_DESC_WITH_PARENT,当场景 '{scene}' 作为 {parent} 的子节点实例化时触发,Triggers when scene '{scene}' is instantiated as child of {parent}
FUSE_EVENT_ON_PROPERTY_CHANGED_NO_NODE,（未指定节点）,(No Node Specified)
FUSE_EVENT_ON_PROPERTY_CHANGED_NO_PROPERTY,（未指定属性）,(No Property Specified)
FUSE_EVENT_ON_PROPERTY_CHANGED_RESOURCE_NAME,属性变化: {node}.{property},Property Changed: {node}.{property}
FUSE_EVENT_ON_PROPERTY_CHANGED_EMIT_VALUES,发出旧值和新值,Emit old and new values
FUSE_EVENT_ON_PROPERTY_CHANGED_EMIT_SIGNAL_ONLY,仅发出触发信号,Emit trigger signal only
FUSE_EVENT_ON_PROPERTY_CHANGED_DESC,监听节点 '{node}' 的属性 '{property}'，每 {interval} 秒检查一次，{value},Monitors property '{property}' on node '{node}', checks every {interval}s, {value}
FUSE_EVENT_ON_SIGNAL_FROM_GROUP_NO_GROUP,<group>,<group>
FUSE_EVENT_ON_SIGNAL_FROM_GROUP_NO_SIGNAL,<signal>,<signal>
FUSE_EVENT_ON_SIGNAL_FROM_GROUP_RESOURCE_NAME,组信号监听: {group}.{signal},Group Signal Listen: {group}.{signal}
FUSE_EVENT_ON_SIGNAL_FROM_GROUP_DESC,监听组 '{group}' 中节点的 '{signal}' 信号,Listens to signal '{signal}' from nodes in group '{group}'

# Physics Events Localization Fix
FUSE_EVENT_ON_AREA_2D_EXITED_RESOURCE_NAME,On Area2D Exited: {area},On Area2D Exited: {area}
FUSE_EVENT_ON_AREA_2D_EXITED_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_AREA_2D_EXITED_ANY_BODY,任何物体,Any Body
FUSE_EVENT_ON_AREA_2D_EXITED_DESC,当 {group} 离开 {area} 时触发,Triggers when {group} exits {area}
FUSE_EVENT_ON_AREA_2D_EXITED_DESC_ONCE,当 {group} 首次离开 {area} 时触发,Triggers when {group} exits {area} for the first time
FUSE_EVENT_ON_AREA_3D_ENTERED_RESOURCE_NAME,On Area3D Entered: {area},On Area3D Entered: {area}
FUSE_EVENT_ON_AREA_3D_ENTERED_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_AREA_3D_ENTERED_ANY_BODY,任何物体,Any Body
FUSE_EVENT_ON_AREA_3D_ENTERED_DESC,当 {group} 进入 {area} 时触发,Triggers when {group} enters {area}
FUSE_EVENT_ON_AREA_3D_EXITED_RESOURCE_NAME,On Area3D Exited: {area},On Area3D Exited: {area}
FUSE_EVENT_ON_AREA_3D_EXITED_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_AREA_3D_EXITED_ANY_BODY,任何物体,Any Body
FUSE_EVENT_ON_AREA_3D_EXITED_DESC,当 {group} 离开 {area} 时触发,Triggers when {group} exits {area}
FUSE_EVENT_ON_AREA_3D_EXITED_DESC_ONCE,当 {group} 首次离开 {area} 时触发,Triggers when {group} exits {area} for the first time
FUSE_EVENT_ON_BODY_ENTERED_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_BODY_ENTERED_ANY_GROUP,any,any
FUSE_EVENT_ON_BODY_ENTERED_DESC,当 {group} 物体进入区域 {area} 时触发 {once},Triggers when {group} body enters area {area} {once}
FUSE_EVENT_ON_COLLISION_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_COLLISION_WITH_MASK,（掩码: {mask}）,(Mask: {mask})
FUSE_EVENT_ON_COLLISION_DESC,当 {node} 发生碰撞时触发{mask},Triggers when {node} collides{mask}
FUSE_EVENT_ON_OVERLAPPING_BODIES_GREATER,>,>
FUSE_EVENT_ON_OVERLAPPING_BODIES_LESS,<,<
FUSE_EVENT_ON_OVERLAPPING_BODIES_EQUAL,==,==
FUSE_EVENT_ON_OVERLAPPING_BODIES_ONCE, [仅一次],[Once]
FUSE_EVENT_ON_OVERLAPPING_BODIES_RESOURCE_NAME,重叠物体: {comparison} {threshold}{once},Overlapping Bodies: {comparison} {threshold}{once}
FUSE_EVENT_ON_OVERLAPPING_BODIES_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_OVERLAPPING_BODIES_COMPARISON_GREATER,大于,Greater than
FUSE_EVENT_ON_OVERLAPPING_BODIES_COMPARISON_LESS,小于,Less than
FUSE_EVENT_ON_OVERLAPPING_BODIES_COMPARISON_EQUAL,等于,Equal to
FUSE_EVENT_ON_OVERLAPPING_BODIES_ONCE_SUFFIX,（仅触发一次）,(trigger once only)
FUSE_EVENT_ON_OVERLAPPING_BODIES_DESC,当区域 {area} 内重叠物体数量{comparison} {threshold} 时触发{once},Triggers when overlapping bodies count in area {area} is {comparison} {threshold}{once}
FUSE_EVENT_ON_RAYCAST_HIT_ORIGIN_SELF,自身,Self
FUSE_EVENT_ON_RAYCAST_HIT_RESOURCE_NAME,射线命中: {origin} → {target},Raycast Hit: {origin} → {target}
FUSE_EVENT_ON_RAYCAST_HIT_DESC,当射线从 {origin} 指向 {target} 命中碰撞体时触发,Triggers when raycast from {origin} pointing to {target} hits collider
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_TRIGGER_ENTER, [进入],[Enter]
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_TRIGGER_EXIT, [离开],[Exit]
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_TRIGGER_BOTH, [进入/离开],[Enter/Exit]
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_RESOURCE_NAME,屏幕进入/离开: {target}{trigger},Screen Enter/Exit: {target}{trigger}
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_NOT_SPECIFIED,未指定,Not Specified
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_MARGIN,余量 {margin} 像素,margin {margin}px
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_INTERVAL,检查间隔 {interval} 秒,check interval {interval}s
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_DESC_ENTER,进入时,on enter
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_DESC_EXIT,离开时,on exit
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_DESC_BOTH,进入或离开时,on enter or exit
FUSE_EVENT_ON_SCREEN_ENTERED_EXITED_DESC,当节点 {target}{margin}{interval}在屏幕上{trigger}触发,Triggers when node {target}{margin}{interval}{trigger} on screen
FUSE_EVENT_ON_SHAPE_CAST_ORIGIN_SELF,自身,Self
FUSE_EVENT_ON_SHAPE_CAST_TYPE_RECT,矩形,Rectangle
FUSE_EVENT_ON_SHAPE_CAST_TYPE_CIRCLE,圆形,Circle
FUSE_EVENT_ON_SHAPE_CAST_TYPE_CAPSULE,胶囊,Capsule
FUSE_EVENT_ON_SHAPE_CAST_RESOURCE_NAME,形状投射: {origin} ({shape}) → {target},Shape Cast: {origin} ({shape}) → {target}
FUSE_EVENT_ON_SHAPE_CAST_DESC,当形状投射从 {origin} 指向 {target} 命中碰撞体时触发,Triggers when shape cast from {origin} pointing to {target} hits collider
# Scene Events Localization Fix
FUSE_EVENT_ON_BACKGROUND_LOAD_PROGRESS_RESOURCE_NAME,后台加载进度: {path} (阈值: {threshold}%),Background Load Progress: {path} (Threshold: {threshold}%)
FUSE_EVENT_ON_BACKGROUND_LOAD_PROGRESS_DESC_FORMAT,后台加载 '{resource_path}' 时，进度每增加 {threshold} 触发（检查间隔：{interval}）,Triggers when loading '{resource_path}' in background, progress increases by {threshold} (check interval: {interval})

FUSE_TEXT_NODE_NOT_SPECIFIED,（未指定节点）,(Node Not Specified)
FUSE_DESC_TRIGGER_PAUSED,暂停时,Paused
FUSE_DESC_TRIGGER_RESUMED,恢复时,Resumed
FUSE_DESC_TRIGGER_BOTH,暂停/恢复时,Paused/Resumed
FUSE_DESC_TRIGGER_PAUSED_ONLY,仅在节点暂停时,Only when node is paused
FUSE_DESC_TRIGGER_RESUMED_ONLY,仅在节点恢复时,Only when node is resumed
FUSE_EVENT_ON_NODE_PAUSED_RESUMED_RESOURCE_NAME,节点暂停/恢复: {node} [{trigger}],Node Paused/Resumed: {node} [{trigger}]
FUSE_EVENT_ON_NODE_PAUSED_RESUMED_DESC,监听节点 '{node}' 的暂停模式变化，每 {interval} 秒检查一次，{trigger},Monitors pause mode changes of node '{node}', checks every {interval}s, {trigger}

FUSE_EVENT_ON_SCENE_ABOUT_TO_CHANGE_RESOURCE_NAME,场景切换前,Scene About To Change
FUSE_EVENT_ON_SCENE_ABOUT_TO_CHANGE_DESC_FORMAT,监听场景切换前事件,Listens for scene about to change event

FUSE_TEXT_CURRENT_SCENE,当前场景,Current Scene
FUSE_EVENT_ON_SCENE_LOADED_RESOURCE_NAME,场景加载完成: {scene},Scene Loaded: {scene}
FUSE_EVENT_ON_SCENE_LOADED_DESC_CURRENT,当前场景加载完成时触发,Triggers when current scene finishes loading
FUSE_EVENT_ON_SCENE_LOADED_DESC_SPECIFIC,场景 '{scene}' 加载完成时触发,Triggers when scene '{scene}' finishes loading

FUSE_DESC_CHANGE_TYPE_NODE_ADDED,节点添加,Node Added
FUSE_DESC_CHANGE_TYPE_NODE_REMOVED,节点移除,Node Removed
FUSE_DESC_CHANGE_TYPE_ANY,任意变化,Any Change
FUSE_DESC_GROUP_FILTER, (组: {group}),(Group: {group})
FUSE_EVENT_ON_TREE_CHANGED_RESOURCE_NAME,场景树变化: {type}{group},Tree Changed: {type}{group}
FUSE_DESC_CHANGE_TYPE_NODE_ADDED_TRIGGER,节点添加时,When node added
FUSE_DESC_CHANGE_TYPE_NODE_REMOVED_TRIGGER,节点移除时,When node removed
FUSE_DESC_CHANGE_TYPE_ANY_TRIGGER,节点添加或移除时,When node added or removed
FUSE_DESC_GROUP_FILTER_ONLY,（仅限 '{group}' 组）,(Only '{group}' group)
FUSE_EVENT_ON_TREE_CHANGED_DESC,场景树{type}触发{group},Triggers on tree {type}{group}

# Timing Events Localization Fix
FUSE_DESC_MANUAL_TRIGGER,手动触发,Manual Trigger
FUSE_DESC_AUTO_START,自动开始,Auto Start
FUSE_DESC_SHOW_PROGRESS,显示进度 ({interval}s),show progress ({interval}s)
FUSE_EVENT_ON_COOLDOWN_FINISHED_RESOURCE_NAME,冷却完成: {cooldown} - {manual}{show_progress},Cooldown Finished: {cooldown} - {manual}{show_progress}
FUSE_DESC_MANUAL_START_NEEDED,需手动启动,Manual start needed
FUSE_DESC_SHOW_COOLDOWN_PROGRESS,显示冷却进度（更新间隔: {interval}s）,show cooldown progress (update interval: {interval}s)
FUSE_EVENT_ON_COOLDOWN_FINISHED_DESC,冷却 {cooldown} 秒后触发（{manual}）{show_progress},Triggers after {cooldown}s cooldown ({manual}){show_progress}

FUSE_DESC_MANUAL_START,手动开始,Manual Start
FUSE_EVENT_ON_COUNTDOWN_RESOURCE_NAME,倒计时: {countdown} - {auto}{show_progress},Countdown: {countdown} - {auto}{show_progress}
FUSE_DESC_SHOW_REMAINING_TIME,显示剩余时间（更新间隔: {interval}s）,show remaining time (update interval: {interval}s)
FUSE_EVENT_ON_COUNTDOWN_DESC,倒计时 {countdown} 秒后触发（{auto}）{show_remaining},Triggers after {countdown}s countdown ({auto}){show_remaining}

FUSE_DESC_MAX_TRIGGERS_LIMITED, (最多 {count} 次),(Max {count} times)
FUSE_DESC_UNLIMITED, (无限),(Unlimited)
FUSE_EVENT_ON_REALTIME_RESOURCE_NAME,On Realtime: {time}{max},On Realtime: {time}{max}
FUSE_DESC_MAX_TRIGGERS_LIMITED_SHORT,最多 {count} 次,max {count} times
FUSE_DESC_UNLIMITED_SHORT,无限次,unlimited
FUSE_EVENT_ON_REALTIME_DESC,每 {interval} 秒（实际时间）触发一次{max},Triggers every {interval}s (realtime){max}

FUSE_DESC_REPEAT_COUNT, (重复 {count} 次),(Repeat {count} times)
FUSE_DESC_REPEAT_INFINITE, (无限重复),(Infinite repeat)
FUSE_EVENT_ON_TIMER_RESOURCE_NAME,定时器: {wait_time} - {auto}{repeat},Timer: {wait_time} - {auto}{repeat}
FUSE_DESC_REPEAT_ONCE,仅触发一次,Trigger once
FUSE_EVENT_ON_TIMER_DESC,每 {wait_time} 秒触发一次，{repeat}，{auto},Triggers every {wait_time}s, {repeat}, {auto}

# Tween Events Localization Fix
FUSE_EVENT_ON_TWEEN_COMPLETED_RESOURCE_NAME,Tween Completed: {path},Tween Completed: {path}
FUSE_EVENT_ON_TWEEN_COMPLETED_DESC,当 {tween} 完成补间动画时触发,Triggers when {tween} completes tween animation

# UI Events Localization Fix
FUSE_DESC_REQUIRE_ENABLED, (要求可用),(Requires Enabled)
FUSE_EVENT_ON_BUTTON_PRESSED_RESOURCE_NAME,按钮按下: {button}{enabled},Button Pressed: {button}{enabled}
FUSE_DESC_BUTTON_ENABLED,且按钮可用,and button is enabled
FUSE_EVENT_ON_BUTTON_PRESSED_DESC,当按下按钮 {button} 时触发{enabled},Triggers when button {button} is pressed{enabled}

FUSE_DESC_MULTI_SELECT, (多选),(Multi-select)
FUSE_DESC_SINGLE_SELECT, (单选),(Single-select)
FUSE_EVENT_ON_ITEM_SELECTED_RESOURCE_NAME,ItemList 选中项改变: {path}{mode},Item List Selection Changed: {path}{mode}
FUSE_DESC_MULTI_SELECT_MODE,多选模式,Multi-select mode
FUSE_DESC_SINGLE_SELECT_MODE,单选模式,Single-select mode
FUSE_EVENT_ON_ITEM_SELECTED_DESC,当 ItemList ({itemlist}) 的选中项改变时触发（{mode}）,Triggers when ItemList ({itemlist}) selection changes ({mode})

FUSE_DESC_TEXT_CHANGE,文本改变,Text Changed
FUSE_DESC_TEXT_EMPTY,文本为空,Text Empty
FUSE_DESC_TEXT_MAX_LENGTH,最大长度 {max},Max Length {max}
FUSE_DESC_TEXT_PATTERN_MATCH,模式匹配: {pattern},Pattern Match: {pattern}
FUSE_TEXT_NOT_SET,（未设置）,(Not Set)
FUSE_EVENT_ON_TEXT_CHANGED_RESOURCE_NAME,文本改变: {path} ({mode}),Text Changed: {path} ({mode})
FUSE_DESC_MAX_LENGTH_DETAIL,（最大长度: {max}）,(Max length: {max})
FUSE_DESC_PATTERN_DETAIL,（模式: {pattern}）,(Pattern: {pattern})
FUSE_EVENT_ON_TEXT_CHANGED_DESC,当 {node} 的文本改变时触发（{mode}）{detail},Triggers when {node} text changes ({mode}){detail}

FUSE_DESC_VALUE_ANY_CHANGE,值变化,Value Changed
FUSE_DESC_VALUE_THRESHOLD,阈值 {threshold},Threshold {threshold}
FUSE_DESC_VALUE_MIN_REACHED,最小值 {min},Min Value {min}
FUSE_DESC_VALUE_MAX_REACHED,最大值 {max},Max Value {max}
FUSE_EVENT_ON_VALUE_CHANGED_RESOURCE_NAME,值改变: {path} ({mode}),Value Changed: {path} ({mode})
FUSE_DESC_VALUE_THRESHOLD_TRIGGER,阈值触发,Threshold trigger
FUSE_DESC_VALUE_MIN_TRIGGER,最小值触发,Min value trigger
FUSE_DESC_VALUE_MAX_TRIGGER,最大值触发,Max value trigger
FUSE_DESC_THRESHOLD_DETAIL,（阈值: {threshold}）,(Threshold: {threshold})
FUSE_DESC_MIN_THRESHOLD_DETAIL,（最小值: {min}）,(Min value: {min})
FUSE_DESC_MAX_THRESHOLD_DETAIL,（最大值: {max}）,(Max value: {max})
FUSE_EVENT_ON_VALUE_CHANGED_DESC,当 {node} 的值改变时触发（{mode}）{threshold},Triggers when {node} value changes ({mode}){threshold}

# Variable Events Localization Fix
FUSE_DESC_LOCAL,局部,Local
FUSE_DESC_GLOBAL,全局,Global
FUSE_DESC_CHECK_MODE_CHANGE,值变化,Value Changed
FUSE_DESC_CHECK_MODE_EQUAL,等于 {value},Equal to {value}
FUSE_DESC_CHECK_MODE_GREATER,大于 {value},Greater than {value}
FUSE_DESC_CHECK_MODE_LESS,小于 {value},Less than {value}
FUSE_EVENT_ON_VARIABLE_CHANGED_RESOURCE_NAME,变量变化: {variable} ({scope}) - {mode},Variable Changed: {variable} ({scope}) - {mode}
FUSE_DESC_CHECK_MODE_CHANGE_TRIGGER,值变化时触发,Triggers on value change
FUSE_DESC_CHECK_MODE_EQUAL_TRIGGER,值等于 {value} 时触发,Triggers when value equals {value}
FUSE_DESC_CHECK_MODE_GREATER_TRIGGER,值大于 {value} 时触发,Triggers when value greater than {value}
FUSE_DESC_CHECK_MODE_LESS_TRIGGER,值小于 {value} 时触发,Triggers when value less than {value}
FUSE_DESC_EMIT_BOTH_VALUES,发出旧值和新值,Emit old and new values
FUSE_DESC_EMIT_OLD_VALUE,发出旧值,Emit old value
FUSE_DESC_EMIT_NEW_VALUE,发出新值,Emit new value
FUSE_EVENT_ON_VARIABLE_CHANGED_DESC,监听 {scope} 变量 '{variable}'，{mode}，每 {interval} 秒检查一次，{value},Monitors {scope} variable '{variable}', {mode}, checks every {interval}s, {value}

# Example Events Localization Fix
FUSE_EVENT_ICON_TEST_NAME,Icon Test Event,Icon Test Event
FUSE_EVENT_ICON_TEST_DESC,测试事件图标显示功能,Tests event icon display functionality
# Node 条件 - 方向检测
FUSE_CONDITION_DIRECTION_NOT_SET,方位检测 (未设置),Direction Check (Not Set)
FUSE_CONDITION_DIRECTION_FORMAT,方位: {source} → {target} ({direction}),Direction: {source} → {target} ({direction})
FUSE_CONDITION_DIRECTION_DESC_FORMAT,{target} 在 {source} 的{direction}方,{target} is {direction} of {source}
FUSE_DIRECTION_UP,上,Up
FUSE_DIRECTION_DOWN,下,Down
FUSE_DIRECTION_LEFT,左,Left
FUSE_DIRECTION_RIGHT,右,Right
FUSE_DIRECTION_UNKNOWN,未知,Unknown
FUSE_ERROR_SOURCE_TARGET_REQUIRED,源节点和目标节点路径都不能为空,Source and target node paths cannot be empty
FUSE_ERROR_SOURCE_NODE_NOT_FOUND,找不到源节点: %s,Source node not found: %s
FUSE_ERROR_TARGET_NODE_NOT_FOUND,找不到目标节点: %s,Target node not found: %s
FUSE_ERROR_NO_GLOBAL_POSITION,节点没有 global_position 属性,Node does not have global_position property
FUSE_ERROR_NODE_TYPE_2D_3D_REQUIRED,节点必须是 Node2D 或 Node3D 类型,Node must be Node2D or Node3D type
FUSE_ERROR_POSITION_TYPE_ERROR,位置类型错误,Position type error
FUSE_ERROR_POSITION_TYPE_VECTOR,位置类型必须是 Vector2 或 Vector3,Position type must be Vector2 or Vector3
FUSE_ERROR_SOURCE_NODE_EMPTY,源节点路径不能为空,Source node path cannot be empty
FUSE_ERROR_TARGET_NODE_EMPTY,目标节点路径不能为空,Target node path cannot be empty
FUSE_ERROR_TOLERANCE_RANGE,容差必须在 0-180 度之间,Tolerance must be between 0-180 degrees
FUSE_LOG_DIRECTION_CHECK,方位检测: {target} 相对于 {source} 的方向为 {direction} => {result},Direction check: {target} relative to {source} is {direction} => {result}

# Node 条件 - 朝向检测
FUSE_CONDITION_FACING_NOT_SET,朝向检测 (未设置),Facing Check (Not Set)
FUSE_CONDITION_FACING_FORMAT,朝向: {node} ({facing}),Facing: {node} ({facing})
FUSE_ERROR_TARGET_NODE_PATH_EMPTY,目标节点路径不能为空,Target node path cannot be empty
FUSE_ERROR_SCALE_TYPE_ERROR,节点 scale 属性类型错误,Node scale property type error
FUSE_ERROR_SCALE_VECTOR_REQUIRED,节点 scale 属性必须是 Vector2 或 Vector3,Node scale property must be Vector2 or Vector3
FUSE_ERROR_NO_FACING_PROPERTY,节点没有可检测的朝向属性,Node has no detectable facing property
FUSE_ERROR_SPRITE_OR_SCALE_REQUIRED,节点必须有 Sprite2D 或 scale 属性,Node must have Sprite2D or scale property
FUSE_LOG_FACING_CHECK,朝向检测: {node} 朝向为 {facing} => {result},Facing check: {node} facing {facing} => {result}

# Node 条件 - 层次关系
FUSE_CONDITION_HIERARCHY_NOT_SET,节点层次 (未设置),Node Hierarchy (Not Set)
FUSE_CONDITION_IS_CHILD_OF_FORMAT,{child} 是 {parent} 的子节点,{child} is child of {parent}
FUSE_ERROR_CHILD_PARENT_REQUIRED,子节点和父节点路径都不能为空,Child and parent node paths cannot be empty
FUSE_ERROR_CHILD_NOT_FOUND,找不到子节点: %s,Child node not found: %s
FUSE_ERROR_PARENT_NOT_FOUND,找不到父节点: %s,Parent node not found: %s
FUSE_ERROR_CHILD_NODE_EMPTY,子节点路径不能为空,Child node path cannot be empty
FUSE_ERROR_PARENT_NODE_EMPTY,父节点路径不能为空,Parent node path cannot be empty
FUSE_LOG_HIERARCHY_CHECK,节点层次检查: {child} 是 {parent} 的子节点 => {result},Hierarchy check: {child} is child of {parent} => {result}

# Node 条件 - 节点激活
FUSE_CONDITION_NODE_ACTIVE_NOT_SET,节点激活 (未设置),Node Active (Not Set)
FUSE_CONDITION_NODE_ACTIVE_FORMAT,{type}: {path},{type}: {path}
FUSE_ERROR_CHECK_NODE_PATH_EMPTY,检查节点路径不能为空,Check node path cannot be empty
FUSE_LOG_NODE_ACTIVE_CHECK,节点激活检查: {path} ({type}) => {result},Node active check: {path} ({type}) => {result}

# Node 条件 - 节点存在
FUSE_CONDITION_NODE_EXISTS_NOT_SET,节点存在 (未设置),Node Exists (Not Set)
FUSE_CONDITION_NODE_EXISTS_FORMAT,节点存在: {path},Node Exists: {path}
FUSE_CONDITION_NODE_EXISTS_DESC_NOT_SET,节点存在性检查 (未设置路径),Node existence check (path not set)
FUSE_LOG_NODE_EXISTS_CHECK,节点存在性检查: {path} => {result},Node existence check: {path} => {result}

# Node 条件 - 节点组
FUSE_CONDITION_NODE_GROUP_NOT_SET,节点组检测 (未设置),Node Group Check (Not Set)
FUSE_CONDITION_NODE_GROUP_NO_GROUP,节点组检测: {path} (未设置组名),Node Group Check: {path} (group not set)
FUSE_CONDITION_NODE_GROUP_FORMAT,节点组检测: {path} ∈ '{group}',Node Group Check: {path} ∈ '{group}'
FUSE_ERROR_GROUP_NAME_EMPTY,组名不能为空,Group name cannot be empty
FUSE_LOG_NODE_GROUP_CHECK,节点组检测: {path} ∈ '{group}' => {result},Node group check: {path} ∈ '{group}' => {result}
FUSE_ERROR_NODE_VARIABLE_IS_NULL,节点变量值为空: {name},Node variable value is null: {name}
FUSE_ERROR_NODE_VARIABLE_INVALID_TYPE,节点变量 '{name}' 类型无效: {type},Node variable '{name}' has invalid type: {type}

# Node 条件 - 节点属性
FUSE_CONDITION_NODE_PROPERTY_NOT_SET,节点属性检查 (未设置),Node Property Check (Not Set)
FUSE_CONDITION_NODE_PROPERTY_NO_PROPERTY,节点属性检查 (未设置属性),Node Property Check (property not set)
FUSE_ERROR_TARGET_NODE_PATH_EMPTY,目标节点路径不能为空,Target node path cannot be empty
FUSE_ERROR_PROPERTY_NAME_EMPTY,属性名不能为空,Property name cannot be empty
FUSE_ERROR_NODE_NO_PROPERTY,节点没有属性: {property},Node does not have property: {property}
FUSE_LOG_NODE_PROPERTY_CHECK,节点属性检查: {node}.{property} = {value} (期望: {expected}) => {result},Node property check: {node}.{property} = {value} (expected: {expected}) => {result}

# Node 条件 - 节点组（补充）
FUSE_CONDITION_NODE_GROUP_FORMAT_SHORT,节点 {path} ∈ '{group}',Node {path} ∈ '{group}'

# Node 条件 - 节点激活（补充）
FUSE_CONDITION_NODE_ACTIVE_DESC_NOT_SET,节点激活检查 (未设置路径),Node active check (path not set)
FUSE_CONDITION_NODE_ACTIVE_DESC_FORMAT,{type}: {path},{type}: {path}
FUSE_CONDITION_NODE_ACTIVE_TYPE_VISIBLE,可见性,Visibility
FUSE_CONDITION_NODE_ACTIVE_TYPE_PROCESSING,处理状态,Processing
FUSE_CONDITION_NODE_ACTIVE_TYPE_INSIDE_TREE,场景树中,Inside Tree
FUSE_CONDITION_NODE_ACTIVE_TYPE_UNKNOWN,未知,Unknown
FUSE_ERROR_UNKNOWN_CHECK_TYPE,未知的检查类型: {type},Unknown check type: {type}
FUSE_LOG_ACTIVE,激活,Active
FUSE_LOG_INACTIVE,未激活,Inactive

# 通用翻译键 - 节点条件
FUSE_ERROR_NODE_NOT_FOUND,找不到节点: {path},Node not found: {path}
FUSE_LOG_EXISTS,存在,Exists
FUSE_LOG_NOT_EXISTS,不存在,Not Exists
FUSE_LOG_YES,是,Yes
FUSE_LOG_NO,No,No
FUSE_OPERATOR_EQUALS,==,==

# Physics 条件 - 在空中
FUSE_CONDITION_IN_AIR_NOT_SET,在空中 (未设置),In Air (Not Set)
FUSE_CONDITION_IN_AIR_FORMAT,在空中: {path},In Air: {path}
FUSE_CONDITION_IN_AIR_DESC_NOT_SET,在空中检查 (未设置路径),In air check (path not set)
FUSE_ERROR_NODE_NOT_CHARACTER_BODY,节点 %s 不是 CharacterBody2D 或 CharacterBody3D 类型,Node %s is not CharacterBody2D or CharacterBody3D type
FUSE_ERROR_CHARACTER_BODY_REQUIRED,节点类型错误：需要 CharacterBody2D 或 CharacterBody3D,Node type error: CharacterBody2D or CharacterBody3D required
FUSE_LOG_IN_AIR_CHECK,空中检查: {path} => {result},Air check: {path} => {result}

# Physics 条件 - 下落
FUSE_CONDITION_FALLING_NOT_SET,正在下落 (未设置),Falling (Not Set)
FUSE_CONDITION_FALLING_FORMAT,正在下落: {path},Falling: {path}
FUSE_CONDITION_IS_FALLING_FORMAT,正在下落: {path},Falling: {path}
FUSE_CONDITION_FALLING_DESC_NOT_SET,下落检查 (未设置路径),Falling check (path not set)
FUSE_LOG_FALLING_CHECK,下落检查: {path} => {result},Falling check: {path} => {result}

# Physics 条件 - 在地面
FUSE_CONDITION_ON_FLOOR_NOT_SET,在地面 (未设置),On Floor (Not Set)
FUSE_CONDITION_ON_FLOOR_FORMAT,在地面: {path},On Floor: {path}
FUSE_CONDITION_ON_FLOOR_DESC_NOT_SET,在地面检查 (未设置路径),On floor check (path not set)
FUSE_LOG_ON_FLOOR_CHECK,地面检查: {path} => {result},Floor check: {path} => {result}

# Physics 条件 - 在墙上
FUSE_CONDITION_ON_WALL_NOT_SET,在墙壁上 (未设置),On Wall (Not Set)
FUSE_CONDITION_ON_WALL_FORMAT,在墙壁上: {path},On Wall: {path}
FUSE_CONDITION_ON_WALL_DESC_NOT_SET,在墙上检查 (未设置路径),On wall check (path not set)
FUSE_ERROR_ON_WALL_CHECK,墙上检查,Wall check
FUSE_LOG_ON_WALL_CHECK,墙壁检查: {path} => {result},Wall check: {path} => {result}

# Physics 条件 - 速度
FUSE_CONDITION_VELOCITY_NOT_SET,速度检测 (未设置),Velocity Check (Not Set)
FUSE_CONDITION_VELOCITY_FORMAT,速度 {op} {value},Velocity {op} {value}
FUSE_CONDITION_VELOCITY_DESC_NOT_SET,速度检测 (未设置),Velocity check (not set)
